Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
1,5.192294089205035,0,0,31.71960241024412,61.59186060848997,0
2,4.033132702741614,2,2,28.91948412187396,52.42227609891599,1
1,8.892768570729004,0,1,23.1790588882854,44.66053858490323,0
1,8.241144063085702,0,1,18.46588640141692,46.4332272684958,0
2,8.374043008245923,0,2,18.12874085342172,63.62592280385192,0
2,8.627622080115675,0,1,20.004857963291904,67.618726471884,0
1,4.444267910404542,1,2,25.984533294122407,69.57895218629243,1
0,6.150794371265635,1,2,29.291918454001248,69.48090713972769,0
1,4.695214357150778,0,1,28.203947534354626,34.56030515243452,1
1,9.17862055525356,2,2,20.598677938918858,54.72101523512907,1
1,7.7397887609653475,1,1,34.097305613263885,32.877938000832216,0
1,5.985388149115895,0,0,29.75793833391537,57.47644411618678,0
2,4.381350101716142,1,2,26.08708105022801,52.07652506866885,1
1,5.865893930293973,1,0,27.234414924687044,74.38520913791498,1
0,5.951099932160482,2,1,23.3920012485558,47.54575062760394,1
2,8.377637070028385,0,0,19.95461979002315,35.853350821380296,1
0,7.8253448281312785,0,0,22.119453573025236,37.1495841026418,0
0,9.32327645545796,2,1,30.15692220928738,68.07553158587362,0
0,6.833289550971696,2,0,15.287869772595116,60.91090316581305,1
0,4.71756547562981,0,0,17.321452810138325,35.05613380613951,1
2,8.27946872333797,0,1,15.920052840435057,34.20534030574987,0
2,8.564710291701385,2,0,15.814576046379402,65.048456572956,1
0,7.367663185416977,1,1,32.10921168022014,33.638150318209675,0
0,8.625803079727365,1,0,29.073157187600472,71.09300296451781,1
2,6.9627735781863445,2,1,24.483476581746505,65.31211135782482,1
2,7.136396976291964,1,1,16.95668321302003,34.06743903209499,0
2,6.565246110151298,2,0,24.832317502336647,34.241885704259595,0
1,4.152514760464571,1,0,24.469435415611315,79.33197892505876,0
1,4.647348561959827,1,0,18.464037398200304,48.71353978780601,1
1,4.188575114120406,0,2,23.67703298475946,48.53210735334454,1
0,7.818462467582682,0,2,22.97009468794747,70.63997836287513,0
1,5.88613588645796,1,2,27.31700196104433,77.36242886919294,0
0,7.051424146988216,1,1,27.701873017352877,79.30005319114355,0
0,9.445398843556555,0,0,15.90608019544089,67.66890926294708,0
1,5.495753374893249,0,1,22.492252292529425,48.81297927654579,1
0,6.462297538213779,0,2,27.517198314284727,34.17503583493344,1
1,8.533306831258292,2,0,25.062725171601755,68.85734579637185,0
1,5.372788992949735,1,1,32.12979682376644,57.92021248679025,1
2,4.461879458972758,0,0,28.173872632378902,51.21110046234881,0
1,5.738508717482608,1,1,18.258688541628597,75.3177192547368,1
2,4.9673277235240265,2,0,16.411374948008596,35.559874115307565,1
1,9.57818591405544,2,2,27.84838556412631,54.63125521454296,1
1,8.848722277386502,0,2,15.530226210832437,30.567682238370956,1
2,7.800422539062541,2,0,26.715511625469265,53.43303209970631,1
2,9.228763541126304,1,1,33.80460482849915,32.815163784091865,0
1,8.822032461394688,0,2,26.50948355751758,35.9408958134036,1
0,5.119420353316215,1,2,22.76339852413044,35.87631233885524,1
2,9.355353990939866,1,2,27.865764368847064,62.460515105803175,1
0,7.236053451493904,2,0,24.165057809830333,67.30224396327117,0
0,8.844640930984376,2,0,25.9123357863187,59.16843825485798,0
0,9.376547799540958,2,1,33.8292961755305,78.10862742372709,0
2,5.908020849831184,2,1,22.722052756015486,48.7435289761852,1
0,4.66031154716606,2,1,34.22381127647829,44.28560431409304,0
2,5.36761097525165,0,0,33.107012839121275,73.42995640947302,0
0,6.562646731757538,1,0,18.915822695785927,41.17979192597263,0
1,8.90808859553496,1,1,16.38722601750331,78.16112697203056,0
1,9.164383499538062,1,1,17.01556002754853,30.60772373449082,1
2,4.041712783187144,1,0,15.364436513030997,78.49394133538195,0
1,7.064483815465394,2,1,16.88885921511857,32.1579955975288,0
1,6.504466018892674,1,2,28.660135468327137,74.55715568490356,1
0,5.332646862824381,0,0,16.42377296920458,56.385055454314994,1
2,4.719192204002097,0,1,21.379512605875227,79.64823980596502,0
0,6.025691028421768,1,0,31.89750621938909,33.68982823676994,0
0,9.657458223475114,1,2,15.465438714716518,57.69271422006604,0
0,5.939217592124532,0,0,31.28936965177872,78.46512678095495,0
0,7.112743730460196,0,0,20.637095495468,56.15489220850744,1
0,8.218113753371068,2,0,17.363296552433127,61.46993190676312,1
0,6.181777614275764,0,0,28.93474330728301,64.78743444923086,1
0,9.830692496325764,2,2,27.57885693559768,52.72705323838866,0
2,9.774683769652668,2,0,32.549440270541055,61.37790400420317,1
1,5.510693774952185,2,0,29.70142087607772,59.21571559615501,0
0,6.983491035354312,2,1,31.06961860769697,75.05790052454944,1
0,5.805269858900618,2,0,20.64069145142613,32.272319017072896,1
0,5.709042966264805,1,1,18.548790875594456,44.04815947961151,1
0,4.221321684127197,0,2,30.012295032817168,77.52057420382793,1
0,7.657386003879381,2,2,31.13669478534528,74.51318919454582,0
0,7.016074139373169,0,2,34.81010284001347,52.782837639285646,0
1,4.308872507499936,0,2,23.25235353822853,61.00662989007684,1
1,5.671878785419668,2,1,22.440361715855666,43.86905914905663,1
0,9.449595315799922,1,0,30.52825921483993,39.40605798618807,1
1,5.437371344001835,2,2,21.81607080506036,53.18492024699911,1
2,4.8693692325473386,1,0,33.61514651207129,47.66761140130264,1
0,6.936716561665378,0,1,32.16825503686024,59.1828055925436,0
2,9.913902724663604,1,1,23.57988054750037,33.88673184824924,1
2,5.452331629069002,1,1,30.017421355829946,78.71974038330833,0
